Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_87*gamma_{+%\mu_87,%gam_187,%gam_188}*gamma_{%\sigma_175,%gam_150,%gam_187}*gamma_{%\sigma_177,%gam_188,%del_144}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_144}(p_4)_v*e_{i_7,%gam_150}(p_3)_u^(*) + (-2)*p_3_%\sigma_175*gamma_{%\sigma_177,%gam_158,%del_149}*A_{l_5,+%\sigma_175}(p_2)*A_{k_5,+%\sigma_177}(p_1)*e_{j_7,%del_149}(p_4)_v*e_{i_7,%gam_158}(p_3)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  e_alpha_139(X)  AntiPart e_beta_43(X)^(*) : Vertex V_1:A(X_2), AntiPart e(X_4),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_3), AntiPart  OffShell e(V_0), : 1/2*i*e^2*(p_2_%\tau_165*gamma_{%\sigma_226,%gam_209,%gam_236}*gamma_{%\sigma_228,%gam_237,%del_181}*gamma_{+%\tau_165,%gam_236,%gam_237}*A_{l_5,+%\sigma_228}(p_2)*A_{k_5,+%\sigma_226}(p_1)*e_{j_7,%del_181}(p_4)_v*e_{i_7,%gam_209}(p_3)_u^(*) + (-2)*p_4_%\sigma_228*gamma_{%\sigma_226,%gam_215,%del_184}*A_{l_5,+%\sigma_228}(p_2)*A_{k_5,+%\sigma_226}(p_1)*e_{j_7,%del_184}(p_4)_v*e_{i_7,%gam_215}(p_3)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  AntiPart e_eps_144(X)^(*)  e_eta_202(X) : Vertex V_1:A(X_2), e(X_4), AntiPart  OffShell e(V_1), Vertex V_0:A(X_1), AntiPart e(X_3),  OffShell e(V_0), : -1/2*i*e^2*(p_2_%\tau_255*gamma_{%\sigma_519,%gam_674,%eps_81}*gamma_{%\sigma_521,%gam_650,%gam_673}*gamma_{+%\tau_255,%gam_673,%gam_674}*A_{l_35,+%\sigma_521}(p_2)*A_{k_35,+%\sigma_519}(p_1)*e_{j_37,%gam_650}(p_4)_u^(*)*e_{i_37,%eps_81}(p_3)_v + (-2)*p_4_%\sigma_521*gamma_{%\sigma_519,%gam_656,%eps_84}*A_{l_35,+%\sigma_521}(p_2)*A_{k_35,+%\sigma_519}(p_1)*e_{j_37,%gam_656}(p_4)_u^(*)*e_{i_37,%eps_84}(p_3)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  A_\sigma_316(X)  to  AntiPart e_eps_144(X)^(*)  e_eta_202(X) : Vertex V_0:A(X_2), AntiPart e(X_3),  OffShell e(V_0), Vertex V_1:A(X_1), e(X_4), AntiPart  OffShell e(V_1), : 1/2*i*e^2*(p_2_%\lambda_178*gamma_{+%\lambda_178,%gam_726,%gam_727}*gamma_{%\sigma_568,%gam_727,%eps_114}*gamma_{%\sigma_570,%gam_695,%gam_726}*A_{l_35,+%\sigma_568}(p_2)*A_{k_35,+%\sigma_570}(p_1)*e_{j_37,%gam_695}(p_4)_u^(*)*e_{i_37,%eps_114}(p_3)_v + (-2)*p_3_%\sigma_568*gamma_{%\sigma_570,%gam_703,%eps_117}*A_{l_35,+%\sigma_568}(p_2)*A_{k_35,+%\sigma_570}(p_1)*e_{j_37,%gam_703}(p_4)_u^(*)*e_{i_37,%eps_117}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  AntiPart A_\rho_244(X)  to  e_del_669(X)  AntiPart e_eps_384(X)^(*) : Vertex V_0:A(X_2), e(X_3), AntiPart  OffShell e(V_0), Vertex V_1:A(X_1), AntiPart e(X_4),  OffShell e(V_1), : -1/2*i*e^2*(p_2_%\mu_265*gamma_{+%\mu_265,%gam_1183,%gam_1184}*gamma_{%\sigma_890,%gam_1148,%gam_1183}*gamma_{%\sigma_892,%gam_1184,%eps_328}*A_{l_69,+%\sigma_890}(p_2)*A_{k_69,+%\sigma_892}(p_1)*e_{i_71,%gam_1148}(p_3)_u^(*)*e_{j_71,%eps_328}(p_4)_v + (-2)*p_3_%\sigma_890*gamma_{%\sigma_892,%gam_1154,%eps_331}*A_{l_69,+%\sigma_890}(p_2)*A_{k_69,+%\sigma_892}(p_1)*e_{i_71,%gam_1154}(p_3)_u^(*)*e_{j_71,%eps_331}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  AntiPart A_\rho_244(X)  to  e_del_669(X)  AntiPart e_eps_384(X)^(*) : Vertex V_1:A(X_2), AntiPart e(X_4),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_3), AntiPart  OffShell e(V_0), : 1/2*i*e^2*(p_2_%\tau_375*gamma_{%\sigma_941,%gam_1205,%gam_1234}*gamma_{%\sigma_943,%gam_1235,%eps_364}*gamma_{+%\tau_375,%gam_1234,%gam_1235}*A_{l_69,+%\sigma_943}(p_2)*A_{k_69,+%\sigma_941}(p_1)*e_{i_71,%gam_1205}(p_3)_u^(*)*e_{j_71,%eps_364}(p_4)_v + (-2)*p_4_%\sigma_943*gamma_{%\sigma_941,%gam_1213,%eps_367}*A_{l_69,+%\sigma_943}(p_2)*A_{k_69,+%\sigma_941}(p_1)*e_{i_71,%gam_1213}(p_3)_u^(*)*e_{j_71,%eps_367}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  AntiPart A_\rho_244(X)  to  AntiPart e_eta_420(X)^(*)  e_alpha_359(X) : Vertex V_1:A(X_2), e(X_4), AntiPart  OffShell e(V_1), Vertex V_0:A(X_1), AntiPart e(X_3),  OffShell e(V_0), : -1/2*i*e^2*(p_2_%\rho_283*gamma_{+%\rho_283,%gam_1673,%gam_1674}*gamma_{%\sigma_1236,%gam_1674,%eta_333}*gamma_{%\sigma_1238,%gam_1648,%gam_1673}*A_{k_99,+%\sigma_1236}(p_1)*A_{l_99,+%\sigma_1238}(p_2)*e_{i_101,%eta_333}(p_3)_v*e_{j_101,%gam_1648}(p_4)_u^(*) + (-2)*p_4_%\sigma_1238*gamma_{%\sigma_1236,%gam_1656,%eta_336}*A_{k_99,+%\sigma_1236}(p_1)*A_{l_99,+%\sigma_1238}(p_2)*e_{i_101,%eta_336}(p_3)_v*e_{j_101,%gam_1656}(p_4)_u^(*))/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  A_\rho_102(X)  AntiPart A_\rho_244(X)  to  AntiPart e_eta_420(X)^(*)  e_alpha_359(X) : Vertex V_0:A(X_2), AntiPart e(X_3),  OffShell e(V_0), Vertex V_1:A(X_1), e(X_4), AntiPart  OffShell e(V_1), : 1/2*i*e^2*(p_2_%\nu_348*gamma_{+%\nu_348,%gam_1724,%gam_1725}*gamma_{%\sigma_1272,%gam_1725,%eta_366}*gamma_{%\sigma_1274,%gam_1695,%gam_1724}*A_{k_99,+%\sigma_1274}(p_1)*A_{l_99,+%\sigma_1272}(p_2)*e_{i_101,%eta_366}(p_3)_v*e_{j_101,%gam_1695}(p_4)_u^(*) + (-2)*p_3_%\sigma_1272*gamma_{%\sigma_1274,%gam_1701,%eta_369}*A_{k_99,+%\sigma_1274}(p_1)*A_{l_99,+%\sigma_1272}(p_2)*e_{i_101,%eta_369}(p_3)_v*e_{j_101,%gam_1701}(p_4)_u^(*))/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  A_\rho_448(X)  to  e_gam_2321(X)  AntiPart e_del_1029(X)^(*) : Vertex V_1:A(X_2), e(X_3), AntiPart  OffShell e(V_1), Vertex V_0:A(X_1), AntiPart e(X_4),  OffShell e(V_0), : -1/2*i*e^2*(p_2_%\tau_535*gamma_{%\sigma_1583,%gam_2153,%gam_2190}*gamma_{%\tau_533,%gam_2191,%del_888}*gamma_{+%\tau_535,%gam_2190,%gam_2191}*A_{k_133,+%\tau_533}(p_1)*A_{l_133,+%\sigma_1583}(p_2)*e_{i_135,%gam_2153}(p_3)_u^(*)*e_{j_135,%del_888}(p_4)_v + (-2)*p_3_%\sigma_1583*gamma_{%\tau_533,%gam_2159,%del_891}*A_{k_133,+%\tau_533}(p_1)*A_{l_133,+%\sigma_1583}(p_2)*e_{i_135,%gam_2159}(p_3)_u^(*)*e_{j_135,%del_891}(p_4)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  A_\rho_448(X)  to  e_gam_2321(X)  AntiPart e_del_1029(X)^(*) : Vertex V_0:A(X_2), AntiPart e(X_4),  OffShell e(V_0), Vertex V_1:A(X_1), e(X_3), AntiPart  OffShell e(V_1), : 1/2*i*e^2*(p_2_%\lambda_418*gamma_{+%\lambda_418,%gam_2246,%gam_2247}*gamma_{%\sigma_1611,%gam_2247,%del_927}*gamma_{%\tau_578,%gam_2213,%gam_2246}*A_{k_133,+%\tau_578}(p_1)*A_{l_133,+%\sigma_1611}(p_2)*e_{i_135,%gam_2213}(p_3)_u^(*)*e_{j_135,%del_927}(p_4)_v + (-2)*p_4_%\sigma_1611*gamma_{%\tau_578,%gam_2219,%del_930}*A_{k_133,+%\tau_578}(p_1)*A_{l_133,+%\sigma_1611}(p_2)*e_{i_135,%gam_2219}(p_3)_u^(*)*e_{j_135,%del_930}(p_4)_v)/(s_13 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_13 + -1/2*reg_prop)^(-2) + (-2)*i*e^2*(i*e^2*m_e^2*(s_23 + 2*s_24)/(s_13 + -1/2*reg_prop) + (-2)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_13 + -1/2*reg_prop))/(s_13 + -1/2*reg_prop)
Interaction:  AntiPart A_\nu_458(X)  A_\rho_448(X)  to  AntiPart e_alpha_527(X)^(*)  e_beta_293(X) : Vertex V_1:A(X_2), AntiPart e(X_3),  OffShell e(V_1), Vertex V_0:A(X_1), e(X_4), AntiPart  OffShell e(V_0), : 1/2*i*e^2*(p_2_%\lambda_511*gamma_{+%\lambda_511,%gam_2707,%gam_2708}*gamma_{%\sigma_1811,%gam_2676,%gam_2707}*gamma_{%\sigma_1813,%gam_2708,%del_1226}*A_{l_163,+%\sigma_1813}(p_2)*A_{k_163,+%\sigma_1811}(p_1)*e_{j_165,%gam_2676}(p_4)_u^(*)*e_{i_165,%del_1226}(p_3)_v + (-2)*p_3_%\sigma_1813*gamma_{%\sigma_1811,%gam_2684,%del_1231}*A_{l_163,+%\sigma_1813}(p_2)*A_{k_163,+%\sigma_1811}(p_1)*e_{j_165,%gam_2684}(p_4)_u^(*)*e_{i_165,%del_1231}(p_3)_v)/(s_23 + -1/2*reg_prop) : 2*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -1/4*i*e^2*(i*e^2*m_e^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_e^2*(m_e^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
