interaction,topology,amplitude,squared_amplitude
AntiPart tt_eta_6898(X)  AntiPart A_\nu_19466(X)  to  AntiPart tt_gam_15483(X)^(*)  A_\rho_19410(X),"Vertex INDEX_[ID]:AntiPart tt ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell tt ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart tt ( INDEX_[ID] ) , AntiPart OffShell tt ( INDEX_[ID] ) ,","4/9*i*e^2*(p_3_%\sigma_24288*gamma_{%\tau_20799,%gam_15381,%del_9063}*A_{j_7505,+%\sigma_24288}(p_4)^(*)*A_{l_7503,+%\tau_20799}(p_2)*tt_{i_7505,%del_9063}(p_3)_v*tt_{k_7503,%gam_15381}(p_1)_v^(*) + 1/2*p_4_%\tau_20801*gamma_{%\sigma_24288,%gam_15408,%del_9065}*gamma_{%\tau_20799,%gam_15384,%gam_15407}*gamma_{+%\tau_20801,%gam_15407,%gam_15408}*A_{j_7505,+%\sigma_24288}(p_4)^(*)*A_{l_7503,+%\tau_20799}(p_2)*tt_{i_7505,%del_9065}(p_3)_v*tt_{k_7503,%gam_15384}(p_1)_v^(*))/(s_12 + 1/2*reg_prop)",INDEX_[ID] / INDEX_[ID] * e ^ 4 * s_14 * s_34 * ( s_12 + 1 / 2 * reg_prop ) ^ ( - 2 ) + - INDEX_[ID] / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_tt ^ 2 * ( m_tt ^ 2 + - 1 / 2 * s_13 ) / ( s_12 + 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_tt ^ 2 * ( s_14 + ( - 2 ) * s_34 ) / ( s_12 + 1 / 2 * reg_prop ) ) / ( s_12 + 1 / 2 * reg_prop )
AntiPart e_gam_2950(X)  e_del_2113(X)^(*)  to  s_eps_1190(X)  AntiPart s_eta_1737(X)^(*),"Vertex INDEX_[ID]:s ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/6*i*e^2*gamma_{+%\sigma_4795,%eta_1733,%beta_1005}*gamma_{%\sigma_4795,%gam_2948,%eta_1734}*e_{k_1455,%gam_2948}(p_1)_v^(*)*e_{l_1455,%eta_1734}(p_2)_u*s_{j_1447,%beta_1005}(p_4)_v*s_{i_1467,%eta_1733}(p_3)_u^(*)/(m_e^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_s ^ 2 + 8 * m_s ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_e ^ 2 * s_34 ) * ( m_e ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
u_eta_7935(X)^(*)  AntiPart s_alpha_5998(X)  to  u_beta_4387(X)  AntiPart s_gam_6707(X)^(*),"Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:u ( INDEX_[ID] ) , u ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\rho_13050,%eta_8000,%eta_8001}*gamma_{%\rho_13050,%eta_8002,%eta_8003}*s_{l_4934,%eta_8002}(p_2)_v^(*)*s_{j_4936,%eta_8003}(p_4)_v*u_{i_4936,%eta_8000}(p_3)_u^(*)*u_{k_4934,%eta_8001}(p_1)_u/(m_u^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_u ^ 2 + ( - 8 ) * m_s ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_u ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_u ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart s_eps_1348(X)  s_eta_2900(X)^(*)  to  AntiPart tt_gam_2191(X)^(*)  tt_del_1586(X),"Vertex INDEX_[ID]:AntiPart tt ( INDEX_[ID] ) , tt ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , s ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","1/9*i*e^2*gamma_{+%\sigma_4611,%eta_2932,%eta_2933}*gamma_{%\sigma_4611,%gam_2189,%del_1584}*s_{l_1642,%eta_2933}(p_2)_u*s_{k_1642,%eta_2932}(p_1)_v^(*)*tt_{i_1644,%del_1584}(p_3)_v*tt_{j_1644,%gam_2189}(p_4)_u^(*)/(m_s^2 + s_12 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_s ^ 2 * m_tt ^ 2 + 8 * m_tt ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_s ^ 2 * s_34 ) * ( m_s ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
A_\lambda_4031(X)  A_\tau_3386(X)  to  t_alpha_2233(X)  AntiPart t_beta_1417(X)^(*),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart t ( INDEX_[ID] ) , OffShell t ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , t ( INDEX_[ID] ) , AntiPart OffShell t ( INDEX_[ID] ) ,","1/2*i*e^2*(p_2_%\nu_3164*gamma_{+%\nu_3164,%gam_5846,%gam_5847}*gamma_{%\tau_3300,%gam_5847,%del_3225}*gamma_{%\tau_3302,%gam_5817,%gam_5846}*A_{k_1065,+%\tau_3302}(p_1)*A_{l_1065,+%\tau_3300}(p_2)*t_{i_1067,%gam_5817}(p_3)_u^(*)*t_{j_1067,%del_3225}(p_4)_v + (-2)*p_4_%\tau_3300*gamma_{%\tau_3302,%gam_5823,%del_3228}*A_{k_1065,+%\tau_3302}(p_1)*A_{l_1065,+%\tau_3300}(p_2)*t_{i_1067,%gam_5823}(p_3)_u^(*)*t_{j_1067,%del_3228}(p_4)_v)/(s_13 + -1/2*reg_prop)",2 * e ^ 4 * s_23 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + ( - 2 ) * i * e ^ 2 * ( i * e ^ 2 * m_t ^ 2 * ( s_23 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) + ( - 2 ) * i * e ^ 2 * m_t ^ 2 * ( m_t ^ 2 + 1 / 2 * s_34 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
A_\lambda_1692(X)  A_\tau_1860(X)  to  AntiPart mu_gam_4433(X)^(*)  mu_del_2369(X),"Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart mu ( INDEX_[ID] ) , OffShell mu ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , AntiPart OffShell mu ( INDEX_[ID] ) ,","1/2*i*e^2*(p_2_%\mu_1609*gamma_{%\lambda_1785,%eta_1762,%eta_1789}*gamma_{+%\mu_1609,%eta_1789,%eta_1790}*gamma_{%\tau_1928,%eta_1790,%gam_4389}*A_{l_583,+%\tau_1928}(p_2)*A_{k_583,+%\lambda_1785}(p_1)*mu_{i_585,%gam_4389}(p_3)_v*mu_{j_585,%eta_1762}(p_4)_u^(*) + (-2)*p_3_%\tau_1928*gamma_{%\lambda_1785,%eta_1768,%gam_4392}*A_{l_583,+%\tau_1928}(p_2)*A_{k_583,+%\lambda_1785}(p_1)*mu_{i_585,%gam_4392}(p_3)_v*mu_{j_585,%eta_1768}(p_4)_u^(*))/(s_23 + -1/2*reg_prop)",2 * e ^ 4 * s_23 * s_24 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 1 / 4 * i * e ^ 2 * ( i * e ^ 2 * m_mu ^ 2 * ( INDEX_[ID] * s_23 + 8 * s_24 ) / ( s_23 + - 1 / 2 * reg_prop ) + ( - INDEX_[ID] ) * i * e ^ 2 * m_mu ^ 2 * ( m_mu ^ 2 + 1 / 2 * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
u_beta_1504(X)^(*)  AntiPart u_gam_2818(X)  to  AntiPart A_\tau_5833(X)  AntiPart A_\tau_5944(X),"Vertex INDEX_[ID]:AntiPart u ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell u ( INDEX_[ID] ) , Vertex INDEX_[ID]:u ( INDEX_[ID] ) , A ( INDEX_[ID] ) , OffShell u ( INDEX_[ID] ) ,","-4/9*i*e^2*(p_2_%\mu_6809*gamma_{%\tau_5909,%gam_4123,%beta_2236}*A_{i_2055,+%\tau_5909}(p_3)^(*)*A_{j_2055,+%\mu_6809}(p_4)^(*)*u_{k_2053,%beta_2236}(p_1)_u*u_{l_2053,%gam_4123}(p_2)_v^(*) + -1/2*p_4_%\rho_5538*gamma_{%\mu_6809,%gam_4126,%gam_4157}*gamma_{+%\rho_5538,%gam_4157,%gam_4158}*gamma_{%\tau_5909,%gam_4158,%beta_2238}*A_{i_2055,+%\tau_5909}(p_3)^(*)*A_{j_2055,+%\mu_6809}(p_4)^(*)*u_{k_2053,%beta_2238}(p_1)_u*u_{l_2053,%gam_4126}(p_2)_v^(*))/(s_13 + -1/2*reg_prop)",INDEX_[ID] / INDEX_[ID] * e ^ 4 * s_14 * s_24 * ( s_13 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + INDEX_[ID] / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_u ^ 2 * ( m_u ^ 2 + 1 / 2 * s_12 ) / ( s_13 + - 1 / 2 * reg_prop ) + - 1 / 2 * i * e ^ 2 * m_u ^ 2 * ( s_14 + 2 * s_24 ) / ( s_13 + - 1 / 2 * reg_prop ) ) / ( s_13 + - 1 / 2 * reg_prop )
AntiPart s_del_7209(X)  A_\sigma_24575(X)  to  AntiPart s_eps_7151(X)^(*)  AntiPart A_\sigma_24689(X),"Vertex INDEX_[ID]:AntiPart s ( INDEX_[ID] ) , A ( INDEX_[ID] ) , AntiPart OffShell s ( INDEX_[ID] ) , Vertex INDEX_[ID]:A ( INDEX_[ID] ) , AntiPart s ( INDEX_[ID] ) , OffShell s ( INDEX_[ID] ) ,","-1/9*i*e^2*(p_1_%\rho_27539*gamma_{%\sigma_24654,%eta_12389,%eps_7382}*A_{j_9123,+%\rho_27539}(p_4)^(*)*A_{l_9121,+%\sigma_24654}(p_2)*s_{i_9123,%eps_7382}(p_3)_v*s_{k_9121,%eta_12389}(p_1)_v^(*) + -1/2*p_4_%\mu_23550*gamma_{+%\mu_23550,%eta_12421,%eta_12422}*gamma_{%\rho_27539,%eta_12392,%eta_12421}*gamma_{%\sigma_24654,%eta_12422,%eps_7384}*A_{j_9123,+%\rho_27539}(p_4)^(*)*A_{l_9121,+%\sigma_24654}(p_2)*s_{i_9123,%eps_7384}(p_3)_v*s_{k_9121,%eta_12392}(p_1)_v^(*))/(s_23 + -1/2*reg_prop)",2 / INDEX_[ID] * e ^ 4 * s_14 * s_34 * ( s_23 + - 1 / 2 * reg_prop ) ^ ( - 2 ) + - 4 / INDEX_[ID] * i * e ^ 2 * ( i * e ^ 2 * m_s ^ 2 * ( m_s ^ 2 + - 1 / 2 * s_13 ) / ( s_23 + - 1 / 2 * reg_prop ) + - 1 / INDEX_[ID] * i * e ^ 2 * m_s ^ 2 * ( INDEX_[ID] * s_14 + ( - 8 ) * s_34 ) / ( s_23 + - 1 / 2 * reg_prop ) ) / ( s_23 + - 1 / 2 * reg_prop )
AntiPart mu_eta_202(X)  mu_alpha_160(X)^(*)  to  AntiPart e_del_180(X)^(*)  e_eps_77(X),"Vertex INDEX_[ID]:AntiPart e ( INDEX_[ID] ) , e ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart mu ( INDEX_[ID] ) , mu ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/2*i*e^2*gamma_{+%\sigma_309,%eta_230,%alpha_174}*gamma_{%\sigma_309,%gam_295,%del_178}*e_{j_40,%gam_295}(p_4)_u^(*)*e_{i_40,%del_178}(p_3)_v*mu_{l_38,%alpha_174}(p_2)_u*mu_{k_38,%eta_230}(p_1)_v^(*)/(m_mu^2 + s_12 + 1/2*reg_prop)",1 / 4 * e ^ 4 * ( INDEX_[ID] * m_e ^ 2 * m_mu ^ 2 + 8 * m_e ^ 2 * s_12 + 8 * s_14 * s_23 + 8 * s_13 * s_24 + 8 * m_mu ^ 2 * s_34 ) * ( m_mu ^ 2 + s_12 + 1 / 2 * reg_prop ) ^ ( - 2 )
AntiPart d_alpha_6455(X)  AntiPart b_del_9259(X)  to  AntiPart d_eps_6251(X)^(*)  AntiPart b_eta_7260(X)^(*),"Vertex INDEX_[ID]:AntiPart b ( INDEX_[ID] ) , AntiPart b ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) , Vertex INDEX_[ID]:AntiPart d ( INDEX_[ID] ) , AntiPart d ( INDEX_[ID] ) , OffShell A ( INDEX_[ID] ) ,","-1/18*i*e^2*gamma_{+%\tau_23458,%gam_13579,%del_9257}*gamma_{%\tau_23458,%gam_13580,%gam_13581}*b_{j_8814,%gam_13581}(p_4)_v*b_{l_8812,%gam_13580}(p_2)_v^(*)*d_{i_8814,%del_9257}(p_3)_v*d_{k_8812,%gam_13579}(p_1)_v^(*)/(m_d^2 + -s_13 + 1/2*reg_prop)",1 / INDEX_[ID] * e ^ 4 * ( INDEX_[ID] * m_b ^ 2 * m_d ^ 2 + ( - 8 ) * m_b ^ 2 * s_13 + 8 * s_14 * s_23 + ( - 8 ) * m_d ^ 2 * s_24 + 8 * s_12 * s_34 ) * ( m_d ^ 2 + - s_13 + 1 / 2 * reg_prop ) ^ ( - 2 )
