interaction,topology,amplitude,squared_amplitude
e_alpha_5021(X)^(*)  tt_beta_4944(X)^(*)  to  e_gam_6739(X)  tt_del_5879(X),"Vertex V_1:tt(X_2), tt(X_4),  OffShell A(V_1), Vertex V_0:e(X_1), e(X_3),  OffShell A(V_0),","1/3*i*e^2*gamma_{+%\sigma_20012,%gam_6734,%gam_6735}*gamma_{%\sigma_20012,%gam_6736,%del_5876}*e_{i_7493,%gam_6734}(p_3)_u^(*)*e_{k_7491,%gam_6735}(p_1)_u*tt_{j_7493,%gam_6736}(p_4)_u^(*)*tt_{l_7491,%del_5876}(p_2)_u/(m_e^2 + -s_13 + 1/2*reg_prop)",1/9*e^4*(16*m_e^2*m_tt^2 + (-8)*m_tt^2*s_13 + 8*s_14*s_23 + (-8)*m_e^2*s_24 + 8*s_12*s_34)*(m_e^2 + -s_13 + 1/2*reg_prop)^(-2)
c_gam_480(X)^(*)  AntiPart c_del_366(X)  to  s_eps_270(X)  AntiPart s_eta_591(X)^(*),"Vertex V_0:s(X_3), AntiPart s(X_4),  OffShell A(V_0), Vertex V_1:c(X_1), AntiPart c(X_2),  OffShell A(V_1),","1/9*i*e^2*gamma_{%\rho_832,%eta_587,%beta_233}*gamma_{+%\rho_832,%eta_588,%eps_267}*c_{k_302,%eps_267}(p_1)_u*c_{l_302,%eta_588}(p_2)_v^(*)*s_{j_304,%beta_233}(p_4)_v*s_{i_304,%eta_587}(p_3)_u^(*)/(m_c^2 + s_12 + 1/2*reg_prop)",1/81*e^4*(16*m_c^2*m_s^2 + 8*m_s^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_c^2*s_34)*(m_c^2 + s_12 + 1/2*reg_prop)^(-2)
u_gam_5062(X)^(*)  AntiPart b_alpha_4833(X)  to  u_beta_4418(X)  AntiPart b_gam_5100(X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:u(X_1), u(X_3),  OffShell A(V_0),","1/9*i*e^2*gamma_{+%\tau_17591,%eta_6074,%gam_5096}*gamma_{%\tau_17591,%gam_5097,%eta_6075}*b_{l_6834,%gam_5097}(p_2)_v^(*)*b_{j_6836,%eta_6075}(p_4)_v*u_{k_6834,%gam_5096}(p_1)_u*u_{i_6836,%eta_6074}(p_3)_u^(*)/(m_u^2 + -s_13 + 1/2*reg_prop)",1/81*e^4*(16*m_b^2*m_u^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_u^2*s_24 + 8*s_12*s_34)*(m_u^2 + -s_13 + 1/2*reg_prop)^(-2)
AntiPart d_eps_1238(X)  s_eta_1281(X)^(*)  to  AntiPart d_alpha_1101(X)^(*)  s_beta_987(X),"Vertex V_1:s(X_2), s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart d(X_1), AntiPart d(X_3),  OffShell A(V_0),","-1/18*i*e^2*gamma_{%\rho_3717,%eta_1279,%beta_984}*gamma_{+%\rho_3717,%gam_1952,%gam_1953}*d_{i_1373,%gam_1953}(p_3)_v*d_{k_1371,%gam_1952}(p_1)_v^(*)*s_{l_1371,%beta_984}(p_2)_u*s_{j_1373,%eta_1279}(p_4)_u^(*)/(m_d^2 + -s_13 + 1/2*reg_prop)",1/324*e^4*(16*m_d^2*m_s^2 + (-8)*m_s^2*s_13 + 8*s_14*s_23 + (-8)*m_d^2*s_24 + 8*s_12*s_34)*(m_d^2 + -s_13 + 1/2*reg_prop)^(-2)
A_\sigma_1925(X)  AntiPart A_\lambda_1467(X)  to  tt_alpha_895(X)  AntiPart tt_beta_815(X)^(*),"Vertex V_0:A(X_2), tt(X_3), AntiPart  OffShell tt(V_0), Vertex V_1:A(X_1), AntiPart tt(X_4),  OffShell tt(V_1),","-2/9*i*e^2*(p_2_%\nu_1639*gamma_{+%\nu_1639,%gam_2085,%gam_2086}*gamma_{%\sigma_1826,%gam_2048,%gam_2085}*gamma_{%\sigma_1828,%gam_2086,%del_1298}*A_{l_475,+%\sigma_1826}(p_2)*A_{k_475,+%\sigma_1828}(p_1)*tt_{i_477,%gam_2048}(p_3)_u^(*)*tt_{j_477,%del_1298}(p_4)_v + (-2)*p_3_%\sigma_1826*gamma_{%\sigma_1828,%gam_2056,%del_1303}*A_{l_475,+%\sigma_1826}(p_2)*A_{k_475,+%\sigma_1828}(p_1)*tt_{i_477,%gam_2056}(p_3)_u^(*)*tt_{j_477,%del_1303}(p_4)_v)/(s_23 + -1/2*reg_prop)",32/81*e^4*s_23*s_24*(s_23 + -1/2*reg_prop)^(-2) + -4/81*i*e^2*(i*e^2*m_tt^2*(16*s_23 + 8*s_24)/(s_23 + -1/2*reg_prop) + (-16)*i*e^2*m_tt^2*(m_tt^2 + 1/2*s_34)/(s_23 + -1/2*reg_prop))/(s_23 + -1/2*reg_prop)
tt_alpha_163(X)^(*)  AntiPart tt_beta_85(X)  to  mu_gam_266(X)  AntiPart mu_del_199(X)^(*),"Vertex V_0:mu(X_3), AntiPart mu(X_4),  OffShell A(V_0), Vertex V_1:tt(X_1), AntiPart tt(X_2),  OffShell A(V_1),","1/3*i*e^2*gamma_{+%\sigma_372,%eta_195,%eta_196}*gamma_{%\sigma_372,%gam_262,%gam_263}*mu_{j_84,%eta_196}(p_4)_v*mu_{i_84,%eta_195}(p_3)_u^(*)*tt_{l_82,%gam_262}(p_2)_v^(*)*tt_{k_82,%gam_263}(p_1)_u/(m_tt^2 + s_12 + 1/2*reg_prop)",1/9*e^4*(16*m_mu^2*m_tt^2 + 8*m_mu^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_tt^2*s_34)*(m_tt^2 + s_12 + 1/2*reg_prop)^(-2)
"s_{E_1046,alpha_1390}(X)^(*)  b_{F_1151,beta_1527}(X)^(*)  to  s_{G_3580,gam_6381}(X)  b_{H_3962,del_2650}(X)","Vertex V_1:b(X_2), b(X_4),  OffShell G(V_1), Vertex V_0:s(X_1), s(X_3),  OffShell G(V_0),","1/12*i*g^2*gamma_{+%\tau_8793,%eta_2220,%del_2639}*gamma_{%\tau_8793,%gam_6360,%gam_6361}*(b_{i_2002,%H_3963,%del_2639}(p_2)_u*b_{k_2006,%H_3963,%eta_2220}(p_4)_u^(*)*s_{l_2000,%G_3581,%gam_6361}(p_1)_u*s_{j_2006,%G_3581,%gam_6360}(p_3)_u^(*) + (-3)*b_{i_2002,%G_3582,%del_2639}(p_2)_u*b_{k_2006,%H_3964,%eta_2220}(p_4)_u^(*)*s_{l_2000,%H_3964,%gam_6361}(p_1)_u*s_{j_2006,%G_3582,%gam_6360}(p_3)_u^(*))/(m_s^2 + -s_13 + 1/2*reg_prop)",-1/16*g^4*((-16)*m_b^2*m_s^2 + 8*m_b^2*s_13 + (-8)*s_14*s_23 + 8*m_s^2*s_24 + (-8)*s_12*s_34)*(m_s^2 + -s_13 + 1/2*reg_prop)^(-2) + 1/144*i*g^2*(i*g^2*((-16)*m_b^2*m_s^2 + 8*m_b^2*s_13 + (-8)*s_14*s_23 + 8*m_s^2*s_24 + (-8)*s_12*s_34)/(m_s^2 + -s_13 + 1/2*reg_prop) + 32*i*g^2*(m_b^2*m_s^2 + -1/2*m_b^2*s_13 + 1/2*s_14*s_23 + -1/2*m_s^2*s_24 + 1/2*s_12*s_34)/(m_s^2 + -s_13 + 1/2*reg_prop))/(m_s^2 + -s_13 + 1/2*reg_prop)
"b_{A_123,alpha_131}(X)^(*)  AntiPart b_{B_87,beta_59}(X)  to  d_{C_86,gam_307}(X)  AntiPart d_{D_120,del_121}(X)^(*)","Vertex V_0:d(X_3), AntiPart d(X_4),  OffShell G(V_0), Vertex V_1:b(X_1), AntiPart b(X_2),  OffShell G(V_1),","1/12*i*g^2*gamma_{+%\rho_335,%eta_321,%eta_322}*gamma_{%\rho_335,%eta_323,%gam_296}*(b_{l_58,%H_110,%gam_296}(p_1)_u*b_{i_60,%H_110,%eta_323}(p_2)_v^(*)*d_{k_60,%G_73,%eta_322}(p_4)_v*d_{j_60,%G_73,%eta_321}(p_3)_u^(*) + (-3)*b_{l_58,%G_74,%gam_296}(p_1)_u*b_{i_60,%H_111,%eta_323}(p_2)_v^(*)*d_{k_60,%H_111,%eta_322}(p_4)_v*d_{j_60,%G_74,%eta_321}(p_3)_u^(*))/(m_b^2 + s_12 + 1/2*reg_prop)",-1/16*g^4*((-16)*m_b^2*m_d^2 + (-8)*m_d^2*s_12 + (-8)*s_14*s_23 + (-8)*s_13*s_24 + (-8)*m_b^2*s_34)*(m_b^2 + s_12 + 1/2*reg_prop)^(-2) + 1/144*i*g^2*(i*g^2*((-16)*m_b^2*m_d^2 + (-8)*m_d^2*s_12 + (-8)*s_14*s_23 + (-8)*s_13*s_24 + (-8)*m_b^2*s_34)/(m_b^2 + s_12 + 1/2*reg_prop) + 32*i*g^2*(m_b^2*m_d^2 + 1/2*m_d^2*s_12 + 1/2*s_14*s_23 + 1/2*s_13*s_24 + 1/2*m_b^2*s_34)/(m_b^2 + s_12 + 1/2*reg_prop))/(m_b^2 + s_12 + 1/2*reg_prop)
mu_gam_254(X)^(*)  AntiPart mu_del_216(X)  to  t_eps_117(X)  AntiPart t_eta_239(X)^(*),"Vertex V_0:mu(X_1), AntiPart mu(X_2),  OffShell A(V_0), Vertex V_1:t(X_3), AntiPart t(X_4),  OffShell A(V_1),","-1/2*i*e^2*gamma_{+%\tau_427,%eta_236,%eps_114}*gamma_{%\tau_427,%gam_252,%del_214}*t_{i_116,%gam_252}(p_3)_u^(*)*t_{j_116,%del_214}(p_4)_v*mu_{l_114,%eta_236}(p_2)_v^(*)*mu_{k_114,%eps_114}(p_1)_u/(m_mu^2 + s_12 + 1/2*reg_prop)",1/4*e^4*(16*m_t^2*m_mu^2 + 8*m_t^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_mu^2*s_34)*(m_mu^2 + s_12 + 1/2*reg_prop)^(-2)
d_gam_529(X)^(*)  AntiPart d_del_372(X)  to  s_eps_252(X)  AntiPart s_eta_418(X)^(*),"Vertex V_1:s(X_3), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:d(X_1), AntiPart d(X_2),  OffShell A(V_0),","-1/18*i*e^2*gamma_{%\rho_768,%eta_415,%beta_219}*gamma_{+%\rho_768,%gam_527,%eps_249}*d_{l_279,%gam_527}(p_2)_v^(*)*d_{k_279,%eps_249}(p_1)_u*s_{j_281,%beta_219}(p_4)_v*s_{i_281,%eta_415}(p_3)_u^(*)/(m_d^2 + s_12 + 1/2*reg_prop)",1/324*e^4*(16*m_d^2*m_s^2 + 8*m_s^2*s_12 + 8*s_14*s_23 + 8*s_13*s_24 + 8*m_d^2*s_34)*(m_d^2 + s_12 + 1/2*reg_prop)^(-2)
AntiPart t_gam_6886(X)  AntiPart b_gam_6942(X)  to  AntiPart t_del_6220(X)^(*)  AntiPart b_eps_5572(X)^(*),"Vertex V_1:AntiPart b(X_2), AntiPart b(X_4),  OffShell A(V_1), Vertex V_0:AntiPart t(X_1), AntiPart t(X_3),  OffShell A(V_0),","-1/6*i*e^2*gamma_{+%\tau_21632,%gam_6938,%del_6217}*gamma_{%\tau_21632,%gam_6939,%del_6218}*b_{l_8050,%gam_6939}(p_2)_v^(*)*b_{j_8052,%del_6218}(p_4)_v*t_{i_8052,%del_6217}(p_3)_v*t_{k_8050,%gam_6938}(p_1)_v^(*)/(m_t^2 + -s_13 + 1/2*reg_prop)",1/36*e^4*(16*m_b^2*m_t^2 + (-8)*m_b^2*s_13 + 8*s_14*s_23 + (-8)*m_t^2*s_24 + 8*s_12*s_34)*(m_t^2 + -s_13 + 1/2*reg_prop)^(-2)
AntiPart e_eps_4231(X)  AntiPart s_eps_4237(X)  to  AntiPart e_eta_4386(X)^(*)  AntiPart s_alpha_4149(X)^(*),"Vertex V_1:AntiPart s(X_2), AntiPart s(X_4),  OffShell A(V_1), Vertex V_0:AntiPart e(X_1), AntiPart e(X_3),  OffShell A(V_0),","-1/6*i*e^2*gamma_{+%\sigma_16475,%eta_4384,%del_4969}*gamma_{%\sigma_16475,%gam_5804,%gam_5805}*e_{k_6108,%gam_5804}(p_1)_v^(*)*e_{i_6110,%gam_5805}(p_3)_v*s_{l_6108,%eta_4384}(p_2)_v^(*)*s_{j_6110,%del_4969}(p_4)_v/(m_e^2 + -s_13 + 1/2*reg_prop)",1/36*e^4*(16*m_e^2*m_s^2 + (-8)*m_s^2*s_13 + 8*s_14*s_23 + (-8)*m_e^2*s_24 + 8*s_12*s_34)*(m_e^2 + -s_13 + 1/2*reg_prop)^(-2)
